Execution Time : 80.4187 ms
Bellman-Ford Shortest Path Distances
Source: 0

0 -> 997 : 88
0 -> 998 : 103
0 -> 999 : 100
0 -> 1000 : 91
0 -> 1001 : 98
0 -> 1002 : 56
0 -> 1003 : 99
0 -> 1004 : 59
0 -> 1005 : 73
0 -> 1006 : 63
0 -> 1007 : 82
0 -> 1008 : 100
0 -> 1009 : 93
0 -> 1010 : 66
0 -> 1011 : 76
0 -> 1012 : 112
0 -> 1013 : 99
0 -> 1014 : 102
0 -> 1015 : 84
0 -> 1016 : 116
0 -> 1017 : 86
0 -> 1018 : 105
0 -> 1019 : 96
0 -> 1020 : 86
0 -> 1021 : 77
0 -> 1022 : 80
0 -> 1023 : 103
0 -> 1024 : 108
0 -> 1025 : 88
0 -> 1026 : 86
0 -> 1027 : 90
0 -> 1028 : 95
0 -> 1029 : 98
0 -> 1030 : 90
0 -> 1031 : INF
0 -> 1032 : 79
0 -> 1033 : 54
0 -> 1034 : 104
0 -> 1035 : 89
0 -> 1036 : 97
0 -> 1037 : 89
0 -> 1038 : 120
0 -> 1039 : 92
0 -> 1040 : 51
0 -> 1041 : 76
0 -> 1042 : 81
0 -> 1043 : 76
0 -> 1044 : 74
0 -> 1045 : 104
0 -> 1046 : INF
0 -> 1047 : 102
0 -> 1048 : 86
0 -> 1049 : 86
0 -> 1050 : 56
0 -> 1051 : 95
0 -> 1052 : 98
0 -> 1053 : 84
0 -> 1054 : INF
0 -> 1055 : 95
0 -> 1056 : 85
0 -> 1057 : 99
0 -> 1058 : 77
0 -> 1059 : 79
0 -> 1060 : 90
0 -> 1061 : 110
0 -> 1062 : 92
0 -> 1063 : 79
0 -> 1064 : 95
0 -> 1065 : 72
0 -> 1066 : 106
0 -> 1067 : 88
0 -> 1068 : 109
0 -> 1069 : 108
0 -> 1070 : 93
0 -> 1071 : 106
0 -> 1072 : 94
0 -> 1073 : 86
0 -> 1074 : 79
0 -> 1075 : 74
0 -> 1076 : 98
0 -> 1077 : 92
0 -> 1078 : 81
0 -> 1079 : 93
0 -> 1080 : 87
0 -> 1081 : 94
0 -> 1082 : 99
0 -> 1083 : 89
0 -> 1084 : 85
0 -> 1085 : 84
0 -> 1086 : 90
0 -> 1087 : 80
0 -> 1088 : 96
0 -> 1089 : 73
0 -> 1090 : 70
0 -> 1091 : 58
0 -> 1092 : 90
0 -> 1093 : 81
0 -> 1094 : 70
0 -> 1095 : 100
0 -> 1096 : 97
0 -> 1097 : 86
0 -> 1098 : 88
0 -> 1099 : 80
0 -> 1100 : 84
0 -> 1101 : 95
0 -> 1102 : 107
0 -> 1103 : 89
0 -> 1104 : 87
0 -> 1105 : 74
0 -> 1106 : 109
0 -> 1107 : 87
0 -> 1108 : 101
0 -> 1109 : INF
0 -> 1110 : 105
0 -> 1111 : 70
0 -> 1112 : 93
0 -> 1113 : 80
0 -> 1114 : 112
0 -> 1115 : 89
0 -> 1116 : 84
0 -> 1117 : 98
0 -> 1118 : 91
0 -> 1119 : 94
0 -> 1120 : INF
0 -> 1121 : 99
0 -> 1122 : 91
0 -> 1123 : 97
0 -> 1124 : 72
0 -> 1125 : 54
0 -> 1126 : 85
0 -> 1127 : 89
0 -> 1128 : 96
0 -> 1129 : 60
0 -> 1130 : 85
0 -> 1131 : 83
0 -> 1132 : 84
0 -> 1133 : 101
0 -> 1134 : 82
0 -> 1135 : INF
0 -> 1136 : INF
0 -> 1137 : 75
0 -> 1138 : 69
0 -> 1139 : 85
0 -> 1140 : 81
0 -> 1141 : 107
0 -> 1142 : 92
0 -> 1143 : 89
0 -> 1144 : 82
0 -> 1145 : 75
0 -> 1146 : 88
0 -> 1147 : 112
0 -> 1148 : 86
0 -> 1149 : 85
0 -> 1150 : 83
0 -> 1151 : 73
0 -> 1152 : 89
0 -> 1153 : 57
0 -> 1154 : 84
0 -> 1155 : 87
0 -> 1156 : 97
0 -> 1157 : 103
0 -> 1158 : 117
0 -> 1159 : 94
0 -> 1160 : 84
0 -> 1161 : 82
0 -> 1162 : 93
0 -> 1163 : 70
0 -> 1164 : 80
0 -> 1165 : 90
0 -> 1166 : 95
0 -> 1167 : 101
0 -> 1168 : 78
0 -> 1169 : 98
0 -> 1170 : 83
0 -> 1171 : 86
0 -> 1172 : INF
0 -> 1173 : 79
0 -> 1174 : 105
0 -> 1175 : 93
0 -> 1176 : 87
0 -> 1177 : 81
0 -> 1178 : 110
0 -> 1179 : 87
0 -> 1180 : 93
0 -> 1181 : 49
0 -> 1182 : 99
0 -> 1183 : 94
0 -> 1184 : 106
0 -> 1185 : 84
0 -> 1186 : 95
0 -> 1187 : 84
0 -> 1188 : 86
0 -> 1189 : 78
0 -> 1190 : 80
0 -> 1191 : 95
0 -> 1192 : 106
0 -> 1193 : 81
0 -> 1194 : 99
0 -> 1195 : 72
0 -> 1196 : 90
0 -> 1197 : 104
0 -> 1198 : 118
0 -> 1199 : 88
0 -> 1200 : 94
0 -> 1201 : 68
0 -> 1202 : 92
0 -> 1203 : 99
0 -> 1204 : 117
0 -> 1205 : 87
0 -> 1206 : 90
0 -> 1207 : 95
0 -> 1208 : 86
0 -> 1209 : 84
0 -> 1210 : 97
0 -> 1211 : 97
0 -> 1212 : 69
0 -> 1213 : 55
0 -> 1214 : 118
0 -> 1215 : 80
0 -> 1216 : 82
0 -> 1217 : 64
0 -> 1218 : 83
0 -> 1219 : 73
0 -> 1220 : 75
0 -> 1221 : 82
0 -> 1222 : 89
0 -> 1223 : 90
0 -> 1224 : 105
0 -> 1225 : 63
0 -> 1226 : 102
0 -> 1227 : 101
0 -> 1228 : 85
0 -> 1229 : 85
0 -> 1230 : 116
0 -> 1231 : 88
0 -> 1232 : 62
0 -> 1233 : 69
0 -> 1234 : 87
0 -> 1235 : 80
